track_id,x,y
91,1034,714
93,197,467
94,819,725
99,632,359
100,619,511
104,1152,511
109,83,619
110,1020,480
86,239,436
89,901,676
91,1031,717
93,192,457
94,811,728
99,622,358
100,588,501
104,1144,501
109,76,622
110,1008,467
86,242,431
89,895,678
91,1028,720
93,188,447
94,803,732
99,598,358
100,557,491
104,1136,490
109,67,625
110,982,458
114,634,575
86,244,426
89,889,680
91,1025,723
93,182,437
94,795,736
99,579,363
100,527,481
104,1129,480
109,60,628
110,955,448
114,637,580
86,246,421
89,884,682
91,1022,726
93,177,427
94,787,739
99,586,390
100,496,471
104,1120,469
109,51,631
110,928,439
114,640,585
86,248,415
89,878,683
93,172,417
94,780,743
99,641,431
100,465,460
104,1113,459
109,44,635
110,901,429
114,643,590
116,1105,485
86,251,410
89,872,685
93,167,406
94,771,747
99,669,473
100,434,450
104,1105,448
109,70,600
110,874,420
114,646,595
116,1122,490
117,415,499
86,253,404
89,866,687
93,162,396
94,763,751
99,705,500
100,404,440
104,1097,438
109,66,600
110,847,410
114,649,600
116,1144,489
117,443,502
93,157,386
94,756,754
99,710,507
100,373,430
104,1090,428
109,61,600
110,820,401
114,652,606
116,1156,487
117,478,512
93,152,376
99,718,508
100,342,419
104,1082,417
109,56,600
110,793,391
114,655,611
116,1161,487
117,497,520
93,147,366
99,724,508
100,311,409
104,1074,406
109,51,599
110,766,382
114,658,616
116,1163,486
117,515,522
119,117,598
120,78,608
93,142,355
99,728,507
100,280,399
104,1067,396
109,46,599
110,739,373
114,661,621
116,1164,485
117,537,521
119,120,597
120,82,608
93,137,346
99,739,505
100,250,389
104,1059,385
109,41,599
110,712,363
114,665,626
116,1170,482
117,569,512
119,128,595
120,89,604
93,132,335
99,745,502
100,219,378
104,1051,375
109,37,599
110,685,353
114,667,632
116,1176,480
117,589,517
119,134,592
120,96,604
93,127,325
99,824,500
100,188,368
104,1043,364
109,32,598
110,658,344
114,671,637
116,1181,478
117,604,532
119,139,592
120,100,596
93,122,315
99,855,500
100,157,358
104,1035,354
109,27,598
110,631,334
114,674,642
116,1184,475
117,621,537
119,146,590
120,107,597
93,117,305
99,870,499
100,127,349
104,1028,344
109,22,598
110,604,325
114,677,647
116,1186,473
117,631,539
119,150,590
120,111,597
93,111,295
99,875,497
100,96,338
104,1020,333
109,17,597
110,577,316
114,680,652
